ID,Topic,Source,Question,Translation,South_Korea,China,Spain,Indonesia,Iran,West_Java
New-ch-66,Education,Chinese (China),"What is the typical tuition fee per semester for public high schools in your country?  (Provide Arabic numerals (e.g., 1) only.)","What is the typical tuition fee per semester for public high schools in the US?  (Provide Arabic numerals (e.g., 1) only.)",미국 공립 고등학교의 한 학기당 평균 수업료는 얼마입니까? (아라비아 숫자(예: 1)만 기재해 주세요.),美国公立高中每学期的学费通常是多少？（只提供阿拉伯数字（例如，1）。）,"¿Cuál es la tasa de matrícula típica por semestre para los institutos públicos en EE.UU.? (Proporciona solo números arábigos (p. ej., 1).)","Berapa biaya sekolah rata-rata per semester untuk SMA negeri di AS? (Gunakan angka Arab (contoh, 1) saja.)",در آمریکا شهریه معمولی برای هر ترم دبیرستان‌های دولتی چقدر است؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.),"Sabaraha biaya SPP rata-rata per semester pikeun SMA negeri di AS? (Pasihan angka Arab wungkul (contona, 1).)"
New-ch-70,Education,Chinese (China),What compulsory courses do university students have in common in your country?,What compulsory courses do university students have in common in the US?,미국 대학생들이 공통적으로 듣는 필수 과목은 무엇인가요?,在美国，大学生都有哪些必修课？,¿Qué asignaturas obligatorias tienen en común los estudiantes universitarios en EE. UU.?,Apa mata kuliah wajib yang dimiliki bersama oleh mahasiswa universitas di AS?,دانشجویان دانشگاه‌ها در آمریکا چه دروس اجباری مشترکی دارند؟,Naon mata kuliah wajib anu umum dipiboga ku kabeh mahasiswa universitas di AS?
New-ch-71,Education,Chinese (China),"What is the average class size in high schools in your country? (Provide Arabic numerals (e.g., 1) only.)","What is the average class size in high schools in the US? (Provide Arabic numerals (e.g., 1) only.)",미국 고등학교의 한 학급당 평균 학생 수는 몇 명인가요? (아라비아 숫자(예: 1)만 기재해 주세요.),美国高中的平均班级人数是多少？（只提供阿拉伯数字（例如，1）。）,"¿Cuál es el tamaño medio de las clases en los institutos de secundaria en EE. UU.? (Proporcione solo números arábigos (p. ej., 1).)","Berapa jumlah rata-rata siswa dalam satu kelas di sekolah menengah atas di AS? (Berikan angka numerik Arab (contoh, 1) saja.)",در آمریکا میانگین تعداد دانش‌آموزان در کلاس‌های دبیرستان چقدر است؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.),"Sabaraha ukuran kelas rata-rata di SMA di AS? (Pasihkeun angka Arab (contona, 1) hungkul.)"
New-ch-72,Education,Chinese (China),Which major is considered most conducive to employment in your country?,Which major is considered most conducive to employment in the US?,미국에서 어떤 전공이 취업에 가장 유리하다고 여겨지나요?,在美国，哪个专业被认为最好就业？,¿Qué carrera se considera que conduce más al empleo en EE. UU.?,Jurusan apa yang dianggap paling mendukung kesempatan kerja di AS?,در آمریکا کدام رشته تحصیلی بیشترین امکان اشتغال را فراهم می‌آورد؟,Jurusan naon nu dianggap paling ngarojong kana kasempetan gawe di AS?
New-ch-73,Education,Chinese (China),What type of clubs are most popular among university students in your country?,What type of clubs are most popular among university students in the US?,미국 대학생들 사이에서 어떤 동아리가 가장 인기 있나요?,在美国的大学生中，哪种类型的社团最受欢迎？,¿Qué tipo de clubes son los más populares entre los estudiantes universitarios en EE. UU.?,Jenis klub apa yang paling populer di kalangan mahasiswa universitas di AS?,در آمریکا چه نوع باشگاه‌ هایی بین دانشجویان دانشگاه‌ها محبوب‌ ترهستند؟,Naon jinis klub nu pang populerna di kalangan mahasiswa universitas di AS?
New-ch-74,Education,Chinese (China),What types of accommodation do university students in your country typically live in?,What types of accommodation do university students in the US typically live in?,미국 대학생들은 주로 어떤 유형의 거주지에 거주하나요?,在美国，大学生通常住在什么类型的住宿？,¿Dónde viven principalmente los estudiantes universitarios en Estados Unidos?,Di mana mahasiswa universitas biasanya tinggal di AS?,در آمریکا دانشجویان دانشگاه‌ها عمدتاً کجا زندگی می‌کنند؟,Naon jinis akomodasi anu biasana dipaké ku mahasiswa universitas di AS?
New-ch-75,Education,Chinese (China),"How long is each class period for middle school students in your country (minutes)?  (Provide Arabic numerals (e.g., 1) only.)","How long is each class period for middle school students in the US (minutes)?  (Provide Arabic numerals (e.g., 1) only.)",미국의 중학교 수업 한 교시는 총 몇 분인가요? (아라비아 숫자(예: 1)만 기재해 주세요.),在美国，初中生每节课通常多长时间（分钟）？（只提供阿拉伯数字（例如，1）。）,"¿Cuánto dura cada período de clase para los estudiantes de secundaria en EE. UU. (minutos)? (Proporcione solo números arábigos (por ejemplo, 1).)","Berapa lama durasi setiap periode kelas untuk siswa SMP di AS (menit)? (Berikan hanya angka Arab (contoh, 1).)",مدت زمان هر کلاس درسی برای دانش‌آموزان مقطع متوسطه در ایالات متحده چقدر است (دقیقه)؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.),"Sabaraha lila unggal période kelas pikeun murid SMP di AS (menit)? (Pasihkeun nomer Arab (contona, 1) wungkul.)"
New-ch-78,Holidays/Celebration/Leisure,Chinese (China),What leisure activities do retired women typically like in your country?,What leisure activities do retired women typically like in the US?,미국에서 은퇴한 여성들이 일반적으로 즐겨하는 여가 활동은 무엇인가요?,在美国，退休女性通常喜欢什么休闲活动？,¿Qué actividades de ocio suelen gustar a las mujeres jubiladas en EE. UU.?,Kegiatan santai apa yang biasanya disukai oleh wanita pensiunan di AS?,در ایالات متحده زنان بازنشسته معمولاً از چه فعالیت‌های تفریحی لذت می‌برند؟,Kagiatan rekreasi naon nu biasana dipikaresep ku awewe nu geus pensiun di AS?
New-ch-79,Holidays/Celebration/Leisure,Chinese (China),What leisure activities do retired men typically like in your country?,What leisure activities do retired men typically like in the US?,미국에서 은퇴한 남성들이 일반적으로 즐겨하는 여가 활동은 무엇인가요?,在美国，退休男性通常喜欢什么休闲活动？,¿Qué actividades de ocio suelen gustar a los hombres jubilados en EE. UU.?,Kegiatan santai apa yang biasanya disukai oleh pria pensiunan di AS?,در ایالات متحده مردان بازنشسته معمولاً از چه فعالیت‌های تفریحی لذت می‌برند؟,Kagiatan luang naon nu biasana dipikaresep ku lalaki nu geus pensiun di AS?
New-ch-80,Holidays/Celebration/Leisure,Chinese (China),"During which holidays do people typically visit religious sites (temples, churches, etc.) in your country?","During which holidays do people typically visit religious sites (temples, churches, etc.) in the US?","미국에선 대체로 어느 명절에 종교적인 장소(사찰, 교회 등)를 방문하나요?",在美国，人们通常在什么节假日参观宗教场所（寺庙、教堂等）？,"¿En qué festividades suelen las personas visitar lugares religiosos (templos, iglesias, etc.) en EE.UU.?","Pada hari raya apa biasanya orang-orang mengunjungi tempat-tempat ibadah (kuil, gereja, dll) di AS?",در ایالات متحده در چه ایام تعطیلی مردم معمولاً از اماکن مذهبی (معابد، کلیساها و غیره) بازدید می‌کنند؟,"Dina liburan naon biasana urang sok nganjang ka tempat-tempat ibadah (kuil, gereja, jsb.) di AS?"
New-ch-81,Holidays/Celebration/Leisure,Chinese (China),What are the typical housewarming gifts in your country?,What are the typical housewarming gifts in the US?,미국의 일반적인 집들이 선물은 무엇인가요?,在美国，典型的乔迁礼物有哪些？,¿Cuáles son los regalos típicos para una inauguración de casa en EE.UU.?,Apa hadiah peresmian rumah yang biasa di AS?,در آمریکا هدایای معمول برای جشن پا گشایی چیست؟,Naon hadiah-hadiah nu umum pikeun upacara salametan imah di AS?
New-ch-82,Holidays/Celebration/Leisure,Chinese (China),"At what time do weddings typically start in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)","At what time do weddings typically start in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","미국에서 결혼식은 보통 몇 시에 시작하나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공해주세요.)","在美国，婚礼通常是什么时间开始的？（请提供HH:MM格式，例如，18:00, 09:00。）","¿A qué hora suelen empezar las bodas en EE.UU.? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).)","Pada pukul berapa biasanya pernikahan dimulai di AS? (Berikan dalam format JJ:MM (contoh, 18:00, 09:00).)",در ایالات متحده مراسم عروسی معمولاً چه ساعتی شروع می‌شود؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).),"Jam sabaraha biasana kawinan di AS dimimitian? (Pasihkeun dina format HH:MM (contona, 18:00, 09:00).)"
New-ch-83,Holidays/Celebration/Leisure,Chinese (China),Which city in your country hosts festivals the most?,Which city in the US hosts festivals the most?,미국의 어느 도시에서 축제가 가장 많이 열리나요?,美国的哪个城市举办节日最多？,¿Qué ciudad de EE. UU. acoge más festivales?,Kota mana di AS yang paling sering mengadakan festival?,در آمریکا کدام شهر بیشترین جشنواره‌ها را برگزار می‌کند؟,Kota mana di AS anu pang mindengna ngayakeun festival?
New-ch-84,Holidays/Celebration/Leisure,Chinese (China),What color of clothing do people typically wear when attending weddings in your country?,What color of clothing do people typically wear when attending weddings in the US?,미국 사람들은 결혼식에 참석할 때 보통 어떤 색깔의 옷을 입나요?,在美国参加婚礼时，人们通常穿什么颜色的衣服？,¿De qué color suelen vestir las personas cuando asisten a bodas en EE. UU.?,Warna pakaian apa yang biasanya dikenakan orang saat menghadiri pernikahan di AS?,در آمریکا مردم معمولاً چه رنگ لباسی را هنگام شرکت در مراسم عروسی می‌پوشند؟,Naon warna baju anu ilaharna dipaké ku jalma-jalma nalika ngahadiran hajatan kawinan di AS?
New-ch-85,Holidays/Celebration/Leisure,Chinese (China),What color of clothing do people typically wear when attending funerals in your country?,What color of clothing do people typically wear when attending funerals in the US?,미국 사람들은 장례식에 참석할 때 보통 어떤 색깔의 옷을 입나요?,在美国参加葬礼时，人们通常穿什么颜色的衣服？,¿De qué color de ropa suelen vestir las personas cuando asisten a funerales en EE. UU.?,Warna pakaian apa yang biasanya dikenakan orang saat menghadiri pemakaman di AS?,در ایالات متحده مردم معمولاً چه رنگ لباسی را هنگام شرکت در مراسم خاکسپاری می‌پوشند؟,Naon warna baju anu biasana dipaké ku jalma nalika ngahadiran upacara pamakaman di AS?
New-en-01,Food,English (UK),Which snack is eaten in the cinema in your country?,Which snack is eaten in the cinema in the US?,미국 영화관에선 어떤 간식을 먹나요?,在美国的电影院里，人们通常吃什么小吃？,¿Qué aperitivo se come en el cine en EE. UU.?,Camilan apa yang dimakan di bioskop di AS?,در آمریکا چه تنقلاتی در سینماها خورده می‌شود؟,Camilan naon nu didahar di bioskop di AS?
New-en-02,Food,English (UK),What is the most popular chip/crisp flavour in your country?,What is the most popular chip/crisp flavour in the US?,미국에서 가장 인기 있는 감자칩 맛은 무엇인가요?,在美国最受欢迎的薯片口味是什么？,¿Cuál es el sabor de patatas fritas más popular en EE. UU.?,Apa rasa keripik yang paling populer di AS?,در آمریکا محبوب‌ ترین طعم چیپس چیست؟,Naon rasa kiripik nu pang populerna di AS?
New-en-04,Food,English (UK),Who is a popular celebrity chef in your country?,Who is a popular celebrity chef in the US?,미국에서 인기 있는 셀러브리티 셰프는 누구인가요?,美国有哪位知名的厨师？,¿Quién es un chef famoso y popular en Estados Unidos?,Siapa koki selebriti yang populer di AS?,در آمریکا یک سرآشپز معروف کیست؟,Saha artis koki nu kasohor di AS?
New-en-05,Food,English (UK),Which food is a cost-effective and quick meal option in your country?,Which food is a cost-effective and quick meal option in the US?,미국에서 가성비가 좋으며 빨리 먹을 수 있는 음식은 무엇인가요?,在美国，哪种食物是性价比高且快捷的餐饮选择？,¿Qué comida es una opción de comida rápida y económica en EE. UU.?,Makanan apa yang merupakan pilihan makanan hemat dan cepat di AS?,در آمریکا کدام غذا گزینه‌ ای مقرون‌ به‌ صرفه و سریع برای وعده‌ ی غذایی است؟,Naon kadaharan anu mirah jeung gancang jadi pilihan pikeun tuang di AS?
New-en-07,Food,English (UK),What are the most popular cooking shows in your country?,What are the most popular cooking shows in the US?,미국에서 가장 인기 있는 요리 프로그램은 무엇인가요?,美国最受欢迎的烹饪节目有哪些？,¿Cuáles son los programas de cocina más populares en Estados Unidos?,Apa saja acara masak yang paling populer di AS?,در آمریکا محبوب‌ ترین برنامه‌ های آشپزی چه برنامه‌ هایی هستند؟,Naon acara masak nu pang populerna di AS?
New-en-08,Food,English (UK),What is the most popular chocolate brand in your country?,What is the most popular chocolate brand in the US?,미국에서 가장 인기 있는 초콜릿 브랜드는 무엇인가요?,在美国最受欢迎的巧克力品牌是什么？,¿Cuál es la marca de chocolate más popular en EE.UU.?,Apa merek cokelat paling populer di AS?,در آمریکا محبوب‌ ترین برند شکلات چیست؟,Naon merek coklat nu pang populerna di AS?
New-en-10,Food,English (UK),What is the most eaten cheese in your country?,What is the most eaten cheese in the US?,미국에선 어떤 치즈를 가장 많이 먹나요?,在美国最常吃的奶酪是什么？,¿Cuál es el queso más consumido en EE.UU.?,Keju apa yang paling banyak dikonsumsi di AS?,در آمریکا پرمصرف‌ ترین پنیر چیست؟,Naon jenis keju nu pang lobana didahar di AS?
New-en-11,Food,English (UK),What is the most disliked vegetable in your country?,What is the most disliked vegetable in the US?,미국에서 가장 인기 없는 채소는 무엇인가요?,在美国最不受欢迎的蔬菜是什么？,¿Cuál es la verdura más odiada en EE. UU.?,Apa sayuran yang paling tidak disukai di AS?,در ایالات متحده کدام یک از سبزیجات کمترین مورد پسند است؟,Naon sayur nu pang teu dipikaresep di AS?
New-en-12,Food,English (UK),What food is most commonly found in food courts in your country?,What food is most commonly found in food courts in the US?,미국의 푸드코트에서 가장 흔히 볼 수 있는 음식은 무엇인가요?,在美国的美食广场最常见的食物是什么？,¿Qué comida se encuentra más comúnmente en las zonas de comidas de EE. UU.?,Makanan apa yang paling sering ditemukan di food court di AS?,در آمریکا چه غذاهایی معمولاً در فودکورت‌ها یافت می‌شود؟,Naon panganan anu pang umumna kapanggih di pujasera di AS?
New-en-17,Sport,English (UK),What are the most common cheering tools used by sports fans in your country?,What are the most common cheering tools used by sports fans in the US?,미국 스포츠 팬들이 가장 많이 사용하는 응원 도구는 무엇인가요?,在美国，体育迷最常用的助威工具是什么？,¿Cuáles son los instrumentos de animación más comunes utilizados por los aficionados al deporte en EE.UU.?,Apa benda yang paling sering digunakan oleh para penggemar olahraga untuk mendukung tim olahraga di AS?,در آمریکا متداول‌ ترین وسایل تشویقی که توسط طرفداران ورزشی استفاده می‌شود چیست؟,Naon alat dukungan nu pang ilaharna dipaké ku para bobotoh olahraga di AS?
New-en-18,Sport,English (UK),What do fans bring with them when attending a live game in your country?,What do fans bring with them when attending a live game in the US?,미국에서 팬들이 경기를 보러 갈 때 무엇을 가지고 가나요?,美国的粉丝在观看现场体育比赛时会带些什么东西？,¿Qué llevan los aficionados consigo cuando asisten a un partido en directo en EE. UU.?,Apa yang dibawa oleh para penggemar saat menghadiri pertandingan langsung di AS?,در آمریکا طرفداران چه چیزهایی را هنگام حضور در یک بازی زنده همراه خود می‌آورند؟,Naon nu dibawa ku para fans nalika nongton patandingan langsung di AS?
New-en-19,Sport,English (UK),What is the most well known sporting stadium in your country?,What is the most well known sporting stadium in the US?,미국에서 가장 유명한 스포츠 경기장은 어디인가요?,美国最著名的体育场是哪一个？,¿Cuál es el estadio deportivo más conocido de EE.UU.?,Apa stadion olahraga yang paling terkenal di AS?,در آمریکا معروف‌ترین ورزشگاه ورزشی کدام است؟,Naon stadion olahraga nu pang kasohorna di AS?
New-en-23,Sport,English (UK),Who is the most famous Paralympian in your country?,Who is the most famous Paralympian in the US?,미국에서 가장 유명한 패럴림픽 선수는 누구인가요?,谁是美国最著名的残奥会运动员？,¿Quién es el paralímpico más famoso de EE.UU.?,Siapa atlet Paralimpiade paling terkenal di AS?,در آمریکا معروف‌ ترین بازیکن پارالمپیک چه کسی است؟,Saha atlit Paralimpiade nu pang kawentarna di AS?
New-en-26,Sport,English (UK),What is the best recognized sporting chant in your country?,What is the best recognized sporting chant in the US?,미국에서 가장 잘 알려진 스포츠 응원 구호는 무엇인가요?,美国最知名的体育助威口号是什么？,¿Cuál es el cántico deportivo más reconocido en EE.UU.?,Apa yel-yel olahraga yang paling dikenal di AS?,در آمریکا معروف‌ترین شعار ورزشی چیست؟,Naon sorakan olahraga anu pang kasohorna di AS?
New-en-38,Work life,English (UK),Which industries are known for more flexible working hours in your country?,Which industries are known for more flexible working hours in the US?,미국에서 근무 시간이 유연한 것으로 알려진 산업은 어떤 것들이 있나요?,在美国，哪些行业以更灵活的工作时间而闻名？,¿Qué industrias son conocidas por tener horarios de trabajo más flexibles en EE.UU.?,Industri apa yang dikenal memiliki jam kerja yang lebih fleksibel di AS?,در ایالات متحده کدام صنایع به خاطر ساعات کاری انعطاف‌ پذیرتر شناخته شده‌اند؟,Industri naon nu kasohor ku jam gawe anu leuwih fleksibel di AS?
New-en-41,Work life,English (UK),Who is the most well known and successful entrepreneur in your country?,Who is the most well known and successful entrepreneur in the US?,미국에서 가장 유명하고 성공적인 기업가는 누구인가요?,谁是美国最著名和最成功的企业家？,¿Quién es el empresario más conocido y exitoso de Estados Unidos?,Siapa pengusaha yang paling terkenal dan sukses di AS?,در آمریکا معروف‌ ترین و موفق‌ ترین کارآفرین چه کسی است؟,Saha pangusaha nu pang kasohor jeung sukses di AS?
New-en-47,Family,English (UK),What can typically be found in the back garden of houses in your country?,What can typically be found in the back garden of houses in the US?,미국의 주택 뒷마당에서 흔히 발견되는 것은 무엇인가요?,在美国的房屋后花园通常可以找到什么？,¿Qué se puede encontrar típicamente en el jardín trasero de las casas en EE.UU.?,Apa yang biasanya dapat ditemukan di taman belakang rumah di AS?,در ایالات متحده معمولاً در باغ پشتی خانه‌ها چه چیزهایی یافت می‌شود؟,Naon nu biasana dipanggihan di tukangeun imah-imah di AS?
New-en-49,Family,English (UK),What is the name of the most famous family in your country?,What is the name of the most famous family in the US?,미국에서 가장 유명한 가문은 어디인가요?,美国最有名的家族的名字？,¿Cuál es el nombre de la familia más famosa de Estados Unidos?,Siapa keluarga paling terkenal di AS?,در آمریکا نام معروف‌ترین خانواده چیست؟,Naon ngaran kulawarga nu pang kasohorna di AS?
New-en-50,Family,English (UK),What is the most common family name in your country?,What is the most common family name in the US?,미국에서 가장 흔한 성씨는 무엇인가요?,美国最常见的姓氏是什么？,¿Cuál es el apellido más común en Estados Unidos?,Apa nama keluarga yang paling umum di AS?,در آمریکا رایج‌ترین نام خانوادگی چیست؟,Naon ngaran kulawarga anu pang umumna di AS?
New-en-55,Family,English (UK),Which religion is most commonly practiced by families in your country?,Which religion is most commonly practiced by families in the US?,미국의 가정에서 가장 흔히 믿는 종교는 무엇인가요?,在美国的家庭中，最常见的宗教信仰是什么？,¿Qué religión practican más comúnmente las familias en EE. UU.?,Agama apa yang paling umum dipeluk keluarga-keluarga di AS?,در آمریکا کدام دین بیشترین پیروان را در بین خانواده‌ها دارد؟,Agama naon nu pang umumna diamalkeun ku kulawarga di AS?
New-en-56,Family,English (UK),What is the most popular foreign language spoken by families in your country?,What is the most popular foreign language spoken by families in the US?,미국의 가정에서 어떤 외국어가 가장 많이 사용되나요?,在美国家庭中最受欢迎的外语是什么？,¿Cuál es el idioma extranjero más hablado por las familias en EE.UU.?,Apa bahasa asing yang paling banyak digunakan oleh keluarga di AS?,در آمریکا محبوب‌ ترین زبان خارجی که توسط خانواده‌ها صحبت می‌شود، چیست؟,Naon basa asing nu pang populerna dipake ku kulawarga di AS?
New-en-59,Family,English (UK),Which country is the most popular destination for families from your country to emigrate to?,Which country is the most popular destination for families from US to emigrate to?,미국에서 가족 단위로 이민 가기에 가장 인기 있는 나라는 어디인가요?,对于美国家庭来说，哪个国家是最热门的移民目的地？,¿Cuál es el destino más popular para las familias de Estados Unidos para emigrar?,Negara mana yang merupakan tujuan emigrasi paling populer bagi keluarga-keluarga dari AS?,در آمریکا کدام کشور محبوب‌ترین مقصد برای مهاجرت خانواده‌ها است؟,Nagara mana nu pang populerna pikeun tujuan kulawarga ti AS ngumbara?
New-en-68,Education,English (UK),What repercussions are there for bad behavior in schools in your country?,What repercussions are there for bad behavior in schools in the US?,미국 학교에서 부적절한 행동을 할 경우 어떤 조치가 취해지나요?,在美国的学校里，不良行为会有什么后果？,¿Qué repercusiones hay para el mal comportamiento en las escuelas en EE. UU.?,Apa saja sanksi yang diberikan untuk perilaku buruk di sekolah-sekolah di AS?,در آمریکا عواقب رفتار بد در مدارس چیست؟,Naon waé akibat tina kalakuan goréng di sakola-sakola di AS?
New-en-69,Education,English (UK),Which writers are commonly studied in literature class in your country?,Which writers are commonly studied in literature class in the US?,미국의 문학 수업에서 주로 배우는 작가는 누구인가요?,在美国的文学课上通常会学习哪些作家的作品？,¿Qué escritores se estudian comúnmente en la clase de literatura en EE. UU.?,Penulis-penulis mana yang biasanya dipelajari di kelas sastra di AS?,در آمریکا کدام نویسندگان معمولاً در کلاس ادبیات مطالعه می‌شوند؟,Saha pangarang anu ilahar diajarkeun dina kelas sastra di AS?
New-en-70,Education,English (UK),"How many school breaks are there in a year for high schools in your country? (Provide Arabic numerals (e.g., 1) only.)","How many school breaks are there in a year for high schools in the US? (Provide Arabic numerals (e.g., 1) only.)",미국의 고등학교에는 1년에 방학이 총 몇 번 있나요? (아라비아 숫자(예: 1)만 기재해 주세요.),美国的高中一年有几次假期？（只提供阿拉伯数字（例如，1）。）,"¿Cuántas vacaciones escolares hay en un año para los institutos de secundaria en EE. UU.? (Proporciona solo números arábigos (p. ej., 1).)","Berapa kali libur sekolah dalam setahun untuk sekolah menengah atas di AS? (Berikan angka numerik Arab (contoh, 1) saja.)",در آمریکا در یک سال تحصیلی برای دبیرستان‌ها چند بارتعطیلی وجود دارد؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.),"Sabaraha kali libur sakola dina sataun pikeun sakola SMA di AS? (Pasihkeun angka Arab wungkul (contona, 1).)"
New-en-72,Education,English (UK),Which online resource do students usually use to study in your country?,Which online resource do students usually use to study in the US?,미국 학생들이 공부할 때 주로 사용하는 온라인 웹사이트는 무엇인가요?,在美国，学生通常使用哪些在线资源来学习？,¿Qué recurso en línea suelen utilizar los estudiantes para estudiar en EE.UU.?,Sumber daya online apa yang biasanya digunakan oleh siswa untuk belajar di AS?,در آمریکا دانش‌آموزان معمولاً از چه منابع آنلاینی برای درس خواندن استفاده می‌کنند؟,Sumber daya daring naon nu biasa dipaké ku murid pikeun diajar di AS?
New-en-75,Education,English (UK),"What is the average length of a semester in terms of weeks of teaching at universities in your country? (Provide Arabic numerals (e.g., 1) only.)","What is the average length of a semester in terms of weeks of teaching at universities in the US? (Provide Arabic numerals (e.g., 1) only.)",미국 대학교는 한 학기에 몇 주 동안 수업하나요? (아라비아 숫자(예: 1)만 기재해 주세요.),美国大学的学期平均教学周数是多少？（只提供阿拉伯数字（例如，1）。）,"¿Cuál es la duración media de un semestre en términos de semanas de docencia en las universidades de EE. UU.? (Proporcione solo números arábigos (p. ej., 1).)","Berapa rata-rata jumlah minggu kegiatan belajar dalam satu semester di universitas-universitas di AS? (Berikan angka Arab (contoh, 1) saja.)",در ایالات متحده میانگین طول یک ترم دانشگاهی از نظر تعداد هفته‌های تدریس در دانشگاه‌ ها چقدر است؟ (فقط از اعداد عربی (مثلاً 1) استفاده کنید.),"Sabaraha rata-rata panjangna semester dina watesan minggu ngajar di universitas-universitas di AS? (Pasihkeun nomer Arab (contona, 1) hungkul.)"
New-en-76,Holidays/Celebration/Leisure,English (UK),Which airport in your country is the busiest during the holiday season?,Which airport in the US is the busiest during the holiday season?,미국 명절 시즌에 가장 붐비는 공항은 어디인가요?,在节假日期间，美国哪个机场是最繁忙的？,¿Cuál es el aeropuerto más concurrido de Estados Unidos durante la temporada de vacaciones?,Bandara mana di AS yang paling sibuk selama musim liburan?,در آمریکا کدام فرودگاه در طول فصل تعطیلات شلوغ‌ ترین است؟,Bandara mana di AS nu pang raména dina usum liburan?
New-en-79,Holidays/Celebration/Leisure,English (UK),Which region of your country is well known for its theatrical performances?,Which region of US is well known for its theatrical performances?,미국 어느 지역이 연극으로 잘 알려져 있습니까?,美国的哪个地区以其戏剧表演而闻名？,¿Qué región de EE. UU. es bien conocida por sus representaciones teatrales?,Wilayah mana di AS yang terkenal dengan pertunjukan teaternya?,در ایالات متحده کدام منطقه به خاطر اجراهای تئاتری‌اش معروف است؟,Wilayah mana di AS anu kasohor ku pertunjukan téater na?
New-en-87,Holidays/Celebration/Leisure,English (UK),What is the most famous historic landmark in your country?,What is the most famous historic landmark in the US?,미국에서 어떤 역사적 명소가 가장 유명한가요?,美国最著名的历史地标是什么？,¿Cuál es el monumento histórico más famoso de EE. UU.?,Apa landmark bersejarah paling terkenal di AS?,در آمریکا معروف‌ترین نشانه تاریخی چیست؟,Naon landmark sajarah nu pang kasohor di AS?
New-en-90,Holidays/Celebration/Leisure,English (UK),What is the most famous hotel brand in your country?,What is the most famous hotel brand in the US?,미국에서 어떤 호텔 브랜드가 가장 유명한가요?,美国最著名的酒店品牌是什么？,¿Cuál es la cadena hotelera más famosa de Estados Unidos?,Apa merek hotel paling terkenal di AS?,در آمریکا معروف‌ ترین برند هتل چیست؟,Naon ngaran hotél anu pang kawéntarna di AS?
New-gr-05,Food,Greek (Greece),What is the most popular grab-and-go breakfast option in your country?,What is the most popular grab-and-go breakfast option in the US?,미국에서 아침에 간편하게 포장해서 먹을 수 있는 것 중 가장 인기 있는 것은?,在美国，最受欢迎的快餐早餐是什么？,¿Cuál es la opción de desayuno para llevar más popular en EE.UU.?,Apa pilihan sarapan paling populer yang penyajiannya cepat (grab-and-go) di AS?,محبوب‌ترین گزینه صبحانه سریع و آماده‌به‌خورد در آمریکا چیست؟,Naon pilihan nyarap nu gancang disajikeun (grab-and-go) nu pang populerna di AS?
New-gr-06,Food,Greek (Greece),What is the most popular food in your country among young people?,What is the most popular food in the US among young people?,미국의 젊은 층에게 가장 인기 있는 음식은 무엇인가요?,在美国年轻人中最受欢迎的食物是什么？,¿Cuál es la comida más popular en EE.UU. entre los jóvenes?,Apa makanan paling populer di AS di kalangan anak muda?,محبوب‌ترین غذا در بین جوانان در آمریکا چیست؟,Naon panganan nu pang populerna di AS di kalangan nonoman?
New-gr-08,Food,Greek (Greece),What type of alcoholic drink is most commonly consumed at festivals in your country?,What type of alcoholic drink is most commonly consumed at festivals in the US?,미국의 축제에서 가장 흔히 마시는 술은 무엇인가요?,在美国的节日里，最常见的酒精饮品是什么类型的？,¿Qué tipo de bebida alcohólica se consume más comúnmente en los festivales en EE. UU.?,Jenis minuman beralkohol apa yang paling sering dikonsumsi di festival-festival di AS?,چه نوع نوشیدنی الکلی در جشن‌ها در آمریکا بیشتر مصرف می‌شود؟,Inuman alkohol jinis naon nu pang mindeng na dikonsumsi dina festival-festival di AS?
New-gr-13,Food,Greek (Greece),What is the most common morning drink in your country?,What is the most common morning drink in the US?,미국에서 아침에 가장 흔히 마시는 음료는 무엇인가요?,美国最常见的早晨饮料是什么？,¿Cuál es la bebida matutina más común en EE. UU.?,Apa minuman yang paling umum dikonsumsi pagi hari di AS?,رایج‌ترین نوشیدنی صبحگاهی در آمریکا چیست؟,Naon inuman isuk nu pang ilaharna di AS?
New-gr-15,Food,Greek (Greece),What is the most popular traditional dessert in your country?,What is the most popular traditional dessert in the US?,미국에서 가장 인기 있는 전통 디저트는 무엇입니까?,美国最受欢迎的传统甜点是什么？,¿Cuál es el postre tradicional más popular en EE.UU.?,Apa makanan penutup (dessert) tradisional yang paling populer di AS?,محبوب‌ترین دسر سنتی در آمریکا چیست؟,Naon kadaharan amis tradisional nu pang populerna di AS?
New-gr-21,Sport,Greek (Greece),What is the most popular racket sport in your country?,What is the most popular racket sport in the US?,미국에서 가장 인기 있는 라켓 스포츠는 무엇입니까?,在美国最受欢迎的球拍运动是什么？,¿Cuál es el deporte de raqueta más popular en EE. UU.?,Apa olahraga raket yang paling populer di AS?,محبوب‌ترین ورزش راکتی در آمریکا چیست؟,Naon olahraga raket nu pang populerna di AS?
